,WordText,WordTextLower,CategoryLabel
0,the  Prevention of Arms Race Act, prevention of arms race act,ACT
1,2018,2018,DATE
2,Findings Congress,findings congress,ORG
3,Senate,senate,ORG
4,United States,united states,GPE
5,"500 and 5,500 kilometers","500 and 5,500 kilometers",QUANTITY
6,Defense,defense,ORG
7,National Intelligence,national intelligence,ORG
8,Congress,congress,ORG
9,the  Prenatal Nondiscrimination Act, prenatal nondiscrimination act,ACT
10,2017,2017,DATE
11,American,american,NORP
12,CVS A,cvs a,WORK_OF_ART
13,the United States,united states,GPE
14,the National Academy of Sciences,national academy of sciences,ORG
15,Columbia University,columbia university,ORG
16,Douglas Almond,douglas almond,PERSON
17,Lena Edlund,lena edlund,PERSON
18,Zogby International,zogby international,ORG
19,86 percent,86 percent,PERCENT
20,Americans,americans,NORP
21,States,states,NORP
22,2012,2012,DATE
23,the Charlotte Lozier Institute,charlotte lozier institute,ORG
24,77 percent,77 percent,PERCENT
25,Congressional,congressional,NORP
26,the  Communist Government of China, communist government of china,ORG
27,1990,1990,DATE
28,Harvard University,harvard university,ORG
29,Amartya Sen,amartya sen,PERSON
30,the Republic of India,republic of india,GPE
31,the United Kingdom,united kingdom,GPE
32,the People’s Republic of China,people’s republic of china,ORG
33,The American Congress of Obstetricians,american congress of obstetricians,ORG
34,Gynecologists,gynecologists,NORP
35,the American Association of Pro Life Obstetricians,american association of pro life obstetricians,ORG
36,South Asian,south asian,NORP
37,Walter Astrada,walter astrada,PERSON
38,Indian,indian,NORP
39,Forty percent,forty percent,PERCENT
40,89 percent,89 percent,PERCENT
41,100 percent,100 percent,PERCENT
42,Tony Falconer,tony falconer,PERSON
43,the Royal College of Obstetrics and Gynaecology,royal college of obstetrics and gynaecology,ORG
44,the University of California,university of california,ORG
45,the American Eugenics Society,american eugenics society,ORG
46,Black Americans,black americans,NORP
47,the Alan Guttmacher Institute,alan guttmacher institute,ORG
48,Planned Parenthood,planned parenthood,ORG
49,the National Vital Statistics,national vital statistics,ORG
50,2005,2005,DATE
51,Arizona,arizona,GPE
52,African Americans,african americans,NORP
53,Chapter 13,chapter 13,LAW
54,VI of,vi of,PRODUCT
55,1964,1964,DATE
56,the Supreme Court,supreme court,ORG
57,Constitution,constitution,LAW
58,the Federal Government,federal government,ORG
59,the Fair Labor Standards Act,fair labor standards act,ACT
60,1938,1938,DATE
61,the Federal Rules of Civil Procedure,federal rules of civil procedure,LAW
62,1995,1995,DATE
63,United States Code,united states code,ORG
64,Act,act,ACT
65,the  Research to Accelerate Cures and Equity for Children Act RACE, research to accelerate cures and equity for children act race,ACT
66,"the Federal Food, Drug","federal food, drug",ORG
67,Federal Regulations,federal regulations,ORG
68,Orphan,orphan,GPE
69,Health and Human Services,health and human services,ORG
70,the FDA Safety and Innovation Act,fda safety and innovation act,ACT
71,the Best Pharmaceuticals for Children Act,best pharmaceuticals for children act,ACT
72,the  Protect American Families, protect american families,ORG
73,Unnecessary Registration and Deportation,unnecessary registration and deportation,ORG
74,Housing Fairness Act,housing fairness act,ACT
75,Housing and Urban Development,housing and urban development,ORG
76,the Housing and Community Development Act,housing and community development act,ACT
77,1987,1987,DATE
78,Authorization of Appropriations,authorization of appropriations,ORG
79,"15,000,000","15,000,000",MONEY
80,2022,2022,DATE
81,the Fair Housing Initiatives Program,fair housing initiatives program,ORG
82,"42,500,000","42,500,000",MONEY
83,less than 75 percent,less than 75 percent,PERCENT
84,more than 10 percent,more than 10 percent,PERCENT
85,the Fair Housing Act,fair housing act,ACT
86,"5,000,000","5,000,000",MONEY
87,this Act,this act,ACT
88,the Office of Management and Budget,office of management and budget,ORG
89,Non Profit Organizations,non profit organizations,ORG
90,Science Success Act,science success act,ACT
91,the Small Business Administration,small business administration,ORG
92,Commerce for Intellectual Property,commerce for intellectual property,ORG
93,the United States Patent and Trademark Office,united states patent and trademark office,ORG
94,the Committee on Small Business of the House of Representatives,committee on small business of house of representatives,ORG
95,the Committee on Small Business and Entrepreneurship,committee on small business and entrepreneurship,ORG
96,the House of Representatives,house of representatives,ORG
