,BillID,HeaderID,EntityOrderID,Text,CategoryLabel,HeaderText
0,1,1,1,,ACT,the  Prevention of Arms Race Act
1,1,1,2,,DATE,2018
2,1,2,1,,ORG,Findings Congress
3,1,3,1,,ORG,Senate
4,1,3,2,,ORG,Senate
5,1,5,1,,GPE,United States
6,1,5,2,,QUANTITY,"500 and 5,500 kilometers"
7,1,5,3,,ORG,Defense
8,1,5,4,,ORG,State
9,1,5,5,,ORG,National Intelligence
10,1,5,6,,ORG,Congress
11,1,7,1,,ORG,Congress
12,1,7,2,,ORG,Congress
13,2,8,1,,ACT,the  Prenatal Nondiscrimination Act
14,2,8,2,,DATE,2017
15,2,10,1,,ORG,Congress
16,2,11,1,,NORP,American
17,2,11,2,,GPE,United States
18,2,11,3,,WORK_OF_ART,CVS A
19,2,11,4,,GPE,the United States
20,2,11,5,,GPE,United States
21,2,11,6,,CARDINAL,46
22,2,11,7,,GPE,the United States
23,2,11,8,,DATE,March 2008
24,2,11,9,,ORG,the National Academy of Sciences
25,2,11,10,,ORG,Columbia University
26,2,11,11,,PERSON,Douglas Almond
27,2,11,12,,PERSON,Lena Edlund
28,2,11,13,,GPE,United States
29,2,11,14,,NORP,American
30,2,11,15,,DATE,March 2006
31,2,11,16,,ORG,Zogby International
32,2,11,17,,PERCENT,86 percent
33,2,11,18,,NORP,Americans
34,2,11,19,,CARDINAL,only eight
35,2,11,20,,NORP,States
36,2,11,21,,DATE,2012
37,2,11,22,,ORG,the Charlotte Lozier Institute
38,2,11,23,,PERCENT,77 percent
39,2,11,24,,NORP,Americans
40,2,11,25,,GPE,the United States
41,2,11,26,,GPE,the United States
42,2,11,27,,ORG,Congress
43,2,11,28,,NORP,Congressional
44,2,11,29,,ORG,the  Communist Government of China
45,2,11,30,,DATE,1990
46,2,11,31,,ORG,Harvard University
47,2,11,32,,PERSON,Amartya Sen
48,2,11,33,,CARDINAL,more than 100 million
49,2,11,34,,GPE,the Republic of India
50,2,11,35,,GPE,the United Kingdom
51,2,11,36,,ORG,the People’s Republic of China
52,2,11,37,,GPE,The United States
53,2,11,38,,GPE,the United States
54,2,11,39,,GPE,the Republic of India
55,2,11,40,,ORG,the People’s Republic of China
56,2,11,41,,GPE,United States
57,2,11,42,,GPE,the United States
58,2,11,43,,GPE,the United States
59,2,11,44,,GPE,the United States
60,2,11,45,,GPE,the United States
61,2,11,46,,NORP,American
62,2,11,47,,ORG,The American Congress of Obstetricians
63,2,11,48,,NORP,Gynecologists
64,2,11,49,,CARDINAL,one
65,2,11,50,,GPE,the United States
66,2,11,51,,ORDINAL,first
67,2,11,52,,ORG,the American Association of Pro Life Obstetricians
68,2,11,53,,NORP,Gynecologists
69,2,11,54,,GPE,the United States
70,2,11,55,,CARDINAL,One third
71,2,11,56,,NORP,South Asian
72,2,11,57,,PERSON,Walter Astrada
73,2,11,58,,NORP,Indian
74,2,11,59,,PERCENT,Forty percent
75,2,11,60,,PERCENT,89 percent
76,2,11,61,,PERCENT,100 percent
77,2,11,62,,PERCENT,100 percent
78,2,11,63,,PERCENT,100 percent
79,2,11,64,,DATE,2012
80,2,11,65,,GPE,the United Kingdom
81,2,11,66,,PERSON,Tony Falconer
82,2,11,67,,ORG,the Royal College of Obstetrics and Gynaecology
83,2,11,68,,ORG,the University of California
84,2,11,69,,GPE,the United States
85,2,11,70,,CARDINAL,two
86,2,11,71,,CARDINAL,three
87,2,11,72,,CARDINAL,four
88,2,11,73,,NORP,American
89,2,11,74,,NORP,American
90,2,12,1,,NORP,American
91,2,12,2,,GPE,United States
92,2,12,3,,NORP,American
93,2,12,4,,ORG,the American Eugenics Society
94,2,12,5,,CARDINAL,"450,000"
95,2,12,6,,NORP,Black Americans
96,2,12,7,,DATE,each year
97,2,12,8,,ORG,the Alan Guttmacher Institute
98,2,12,9,,ORG,Planned Parenthood
99,2,12,10,,ORG,the National Vital Statistics
100,2,12,11,,DATE,annual
101,2,12,12,,DATE,from year to year
102,2,12,13,,DATE,2005
103,2,12,14,,CARDINAL,Only one
104,2,12,15,,ORG,State
105,2,12,16,,GPE,Arizona
106,2,12,17,,NORP,American
107,2,12,18,,NORP,American
108,2,13,1,,GPE,the United States
109,2,13,2,,GPE,the United States
110,2,13,3,,NORP,African Americans
111,2,13,4,,NORP,American
112,2,13,5,,NORP,Americans
113,2,13,6,,ORG,Congress
114,2,14,1,,ORG,Congress
115,2,14,2,,ORG,Congress
116,2,16,1,,LAW,Chapter 13
117,2,28,1,,PRODUCT,VI of
118,2,28,2,,ACT,the Civil Rights Act
119,2,28,3,,DATE,1964
120,2,28,4,,CARDINAL,601
121,2,29,1,,DATE,more than 1 year
122,2,30,1,,GPE,the United States
123,2,30,2,,GPE,United States
124,2,30,3,,ORG,the Supreme Court
125,2,30,4,,GPE,the United States
126,2,32,1,,LAW,Constitution
127,2,33,1,,CARDINAL,1
128,2,37,1,,CARDINAL,13
129,3,39,1,,DATE,2017
130,3,40,1,,ORG,the Federal Government
131,3,40,2,,ORG,The Federal Government
132,4,42,1,,DATE,2017
133,4,43,1,,LAW,section 8
134,4,43,2,,ACT,the Fair Labor Standards Act
135,4,43,3,,DATE,1938
136,4,43,4,,MONEY,29 U.S.C. 201
137,4,44,1,,ORG,Findings Congress
138,4,46,1,,MONEY,29 U.S.C. 206
139,4,47,1,,CARDINAL,29
140,4,47,2,,CARDINAL,6(d
141,4,47,3,,CARDINAL,6
142,4,48,1,,DATE,Section 15(a
143,4,48,2,,CARDINAL,29
144,4,50,1,,LAW,Section 16(b
145,4,50,2,,CARDINAL,29
146,4,51,1,,LAW,Section 16(c
147,4,51,2,,CARDINAL,29
148,4,52,1,,LAW,section 6(h
149,4,52,2,,LAW,the Federal Rules of Civil Procedure
150,4,54,1,,CARDINAL,29
151,4,55,1,,LAW,Section 11(c
152,4,57,1,,LAW,Section 11(c
153,4,58,1,,LAW,Section 4(d
154,4,58,2,,CARDINAL,29
155,4,61,1,,DATE,1995
156,4,61,2,,DATE,2 U.S.C.
157,4,61,3,,CARDINAL,1313(a)(1
158,4,61,4,,CARDINAL,6
159,4,61,5,,CARDINAL,6
160,4,61,6,,CARDINAL,206
161,4,61,7,,CARDINAL,206
162,4,62,1,,DATE,2 U.S.C.
163,4,62,2,,DATE,1313(b
164,4,62,3,,LAW,section 16(f
165,4,62,4,,CARDINAL,29
166,4,64,1,,CARDINAL,3
167,4,64,2,,ORG,United States Code
168,4,64,3,,CARDINAL,2(a
169,4,64,4,,ACT,the Presidential and Executive Office Accountability Act ( Public Law
170,4,64,5,,CARDINAL,6
171,4,64,6,,CARDINAL,6
172,4,65,1,,LAW,section 16(f
173,4,65,2,,ACT,Act
174,4,66,1,,DATE,1 year
175,5,67,1,,ACT,the  Research to Accelerate Cures and Equity for Children Act RACE
176,5,69,1,,LAW,Section 505B
177,5,69,2,,ORG,"the Federal Food, Drug"
178,5,71,1,,LAW,section 505B(e)(2)(C
179,5,71,2,,ORG,"the Federal Food, Drug"
180,5,71,3,,CARDINAL,21
181,5,71,4,,CARDINAL,1
182,5,71,5,,CARDINAL,21
183,5,71,6,,ORG,Federal Regulations
184,5,71,7,,DATE,30 days
185,5,71,8,,DATE,later than 90 calendar days
186,5,71,9,,ORG,a)(4
187,5,72,1,,ORG,"the Federal Food, Drug"
188,5,72,2,,CARDINAL,21
189,5,72,3,,CARDINAL,2
190,5,72,4,,CARDINAL,3
191,5,72,5,,CARDINAL,2)(C)(i
192,5,72,6,,CARDINAL,2)(C)(i)(II
193,5,73,1,,GPE,Orphan
194,5,73,2,,ORG,"the Federal Food, Drug"
195,5,73,3,,MONEY,21 U.S.C.
196,5,73,4,,CARDINAL,355c(k
197,5,74,1,,DATE,later than 1 year
198,5,74,2,,ORG,Health and Human Services
199,5,74,3,,ORG,"the Federal Food, Drug"
200,5,75,1,,CARDINAL,505
201,5,75,2,,ORG,"the Federal Food, Drug"
202,5,75,3,,CARDINAL,262
203,5,76,1,,ORG,Congress Section
204,5,76,2,,ACT,the FDA Safety and Innovation Act
205,5,76,3,,CARDINAL,21
206,5,77,1,,ORG,Health and Human Services
207,5,77,2,,LAW,section 505A
208,5,77,3,,ORG,"the Federal Food, Drug"
209,5,77,4,,MONEY,21 U.S.C. 355a
210,5,79,1,,ORG,Section
211,5,79,2,,ORG,"the Federal Food, Drug"
