,WordText,WordTextLower,CategoryLabel
0,Douglas Almond,douglas almond,PERSON
1,Lena Edlund,lena edlund,PERSON
2,Amartya Sen,amartya sen,PERSON
3,Gynecologists,gynecologists,NORP
4,Walter Astrada,walter astrada,PERSON
5,Planned Parenthood,planned parenthood,ORG
6,Orphan,orphan,GPE
7,Non Profit Organizations,non profit organizations,ORG
8,Dorothy Vaughan,dorothy vaughan,PERSON
9,Wanda Jackson,wanda jackson,PERSON
10,Equal Credit Opportunity Act,equal credit opportunity act,ACT
11,Assault,assault,ORG
12,Threats,threats,NORP
13,Extensions,extensions,ORG
14,Hotline,hotline,ORG
15,Nazism,nazism,NORP
16,Semites,semites,NORP
17,Ku Klux Klansmen,ku klux klansmen,PERSON
18,Dutch,dutch,NORP
19,Islamist,islamist,NORP
20,Twitter,twitter,PRODUCT
21,New York,new york,GPE
22,U.S. Military,u.s. military,ORG
23,NFL,nfl,ORG
24,Puerto Rico,puerto rico,GPE
25,Fake News,fake news,WORK_OF_ART
26,Wilson,wilson,PERSON
27,SECRETLY,secretly,ORG
28,Wacky Congresswoman,wacky congresswoman,PERSON
29,Democrat Party,democrat party,ORG
30,Republican Party,republican party,ORG
31,Dems,dems,NORP
32,1967,1967,DATE
33,Voting Rights Act,voting rights act,ACT
34,PretrialIntegrityandSafetyAct,pretrialintegrityandsafetyact,ACT
35,United States Virgin Islands,united states virgin islands,GPE
36,Guam,guam,GPE
37,English,english,LANGUAGE
38,United States District Court,united states district court,GPE
39,StopHarmful,stopharmful,ORG
40,Threatened,threatened,ORG
41,ovarian,ovarian,GPE
42,Declaratory Judgment,declaratory judgment,PERSON
43,Library of Congress,library of congress,ORG
44,Workforce Innovation,workforce innovation,ORG
45,2023,2023,DATE
46,Washington,washington,GPE
47,Nondiscrimination Each Federal,nondiscrimination each federal,ORG
48,1969,1969,DATE
49,1986,1986,DATE
50,EJScreen,ejscreen,ORG
51,2027,2027,DATE
52,Surface Mining Control and Reclamation Act,surface mining control and reclamation act,ACT
53,1977,1977,DATE
54,Marine Protection,marine protection,ORG
55,1972,1972,DATE
56,Committee on Foreign Relations,committee on foreign relations,ORG
57,International Development,international development,ORG
58,Ethnicity,ethnicity,ORG
59,"Travel
 ","travel
 ",ORG
60,Nicaragua,nicaragua,GPE
61,Haiti,haiti,GPE
62,MissingChildren’sAssistanceAmendmentAct,missingchildren’sassistanceamendmentact,ACT
63,ProtectingYouth,protectingyouth,ORG
64,Prince Hall Freemasonry,prince hall freemasonry,ORG
65,Bias,bias,PERSON
66,Improving Federal,improving federal,ORG
67,AIM,aim,ORG
68,CHIP,chip,ORG
69,Office of Government Ethics,office of government ethics,ORG
70,Citizens United,citizens united,GPE
71,Vietnam,vietnam,GPE
72,National Program of Cancer Registries,national program of cancer registries,ORG
73,ProtectingNewborns,protectingnewborns,ORG
74,Safe and Drug Free Schools,safe and drug free schools,ORG
75,Bullying,bullying,GPE
76,Subdivision 1 of Division B,subdivision 1 of division b,ORG
77,Pensions,pensions,NORP
78,USA Values Act,usa values act,ACT
79,1930,1930,DATE
80,CHD,chd,ORG
81,Health Insurance Portability,health insurance portability,ORG
82,1996,1996,DATE
83,National Intimate Partner and Sexual Violence Survey,national intimate partner and sexual violence survey,ORG
