,WordText,WordTextLower,CategoryLabel
0,the  Prevention of Arms Race Act,the  prevention of arms race act,ACT
1,2018,2018,DATE
2,Findings Congress,findings congress,ORG
3,Senate,senate,ORG
4,United States,united states,GPE
5,"500 and 5,500 kilometers","500 and 5,500 kilometers",QUANTITY
6,Defense,defense,ORG
7,State,state,ORG
8,National Intelligence,national intelligence,ORG
9,Congress,congress,ORG
10,the  Prenatal Nondiscrimination Act,the  prenatal nondiscrimination act,ACT
11,2017,2017,DATE
12,American,american,NORP
13,CVS A,cvs a,WORK_OF_ART
14,the United States,the united states,GPE
15,46,46,CARDINAL
16,March 2008,march 2008,DATE
17,the National Academy of Sciences,the national academy of sciences,ORG
18,Columbia University,columbia university,ORG
19,Douglas Almond,douglas almond,PERSON
20,Lena Edlund,lena edlund,PERSON
21,March 2006,march 2006,DATE
22,Zogby International,zogby international,ORG
23,86 percent,86 percent,PERCENT
24,Americans,americans,NORP
25,only eight,only eight,CARDINAL
26,States,states,NORP
27,2012,2012,DATE
28,the Charlotte Lozier Institute,the charlotte lozier institute,ORG
29,77 percent,77 percent,PERCENT
30,Congressional,congressional,NORP
31,the  Communist Government of China,the  communist government of china,ORG
32,1990,1990,DATE
33,Harvard University,harvard university,ORG
34,Amartya Sen,amartya sen,PERSON
35,more than 100 million,more than 100 million,CARDINAL
36,the Republic of India,the republic of india,GPE
37,the United Kingdom,the united kingdom,GPE
38,the People’s Republic of China,the people’s republic of china,ORG
39,The American Congress of Obstetricians,the american congress of obstetricians,ORG
40,Gynecologists,gynecologists,NORP
41,one,one,CARDINAL
42,first,first,ORDINAL
43,the American Association of Pro Life Obstetricians,the american association of pro life obstetricians,ORG
44,One third,one third,CARDINAL
45,South Asian,south asian,NORP
46,Walter Astrada,walter astrada,PERSON
47,Indian,indian,NORP
48,Forty percent,forty percent,PERCENT
49,89 percent,89 percent,PERCENT
50,100 percent,100 percent,PERCENT
51,Tony Falconer,tony falconer,PERSON
52,the Royal College of Obstetrics and Gynaecology,the royal college of obstetrics and gynaecology,ORG
53,the University of California,the university of california,ORG
54,two,two,CARDINAL
55,three,three,CARDINAL
56,four,four,CARDINAL
57,the American Eugenics Society,the american eugenics society,ORG
58,"450,000","450,000",CARDINAL
59,Black Americans,black americans,NORP
60,each year,each year,DATE
61,the Alan Guttmacher Institute,the alan guttmacher institute,ORG
62,Planned Parenthood,planned parenthood,ORG
63,the National Vital Statistics,the national vital statistics,ORG
64,annual,annual,DATE
65,from year to year,from year to year,DATE
66,2005,2005,DATE
67,Only one,only one,CARDINAL
68,Arizona,arizona,GPE
69,African Americans,african americans,NORP
70,Chapter 13,chapter 13,LAW
71,VI of,vi of,PRODUCT
72,the Civil Rights Act,the civil rights act,ACT
73,1964,1964,DATE
74,601,601,CARDINAL
75,more than 1 year,more than 1 year,DATE
76,the Supreme Court,the supreme court,ORG
77,Constitution,constitution,LAW
78,1,1,CARDINAL
79,13,13,CARDINAL
80,the Federal Government,the federal government,ORG
81,section 8,section 8,LAW
82,the Fair Labor Standards Act,the fair labor standards act,ACT
83,1938,1938,DATE
84,29 U.S.C. 201,29 u.s.c. 201,MONEY
85,29 U.S.C. 206,29 u.s.c. 206,MONEY
86,29,29,CARDINAL
87,6(d,6(d,CARDINAL
88,6,6,CARDINAL
89,Section 15(a,section 15(a,DATE
90,Section 16(b,section 16(b,LAW
91,Section 16(c,section 16(c,LAW
92,section 6(h,section 6(h,LAW
93,the Federal Rules of Civil Procedure,the federal rules of civil procedure,LAW
94,Section 11(c,section 11(c,LAW
95,Section 4(d,section 4(d,LAW
96,1995,1995,DATE
97,2 U.S.C.,2 u.s.c.,DATE
98,1313(a)(1,1313(a)(1,CARDINAL
99,206,206,CARDINAL
100,1313(b,1313(b,DATE
101,section 16(f,section 16(f,LAW
102,3,3,CARDINAL
103,United States Code,united states code,ORG
104,2(a,2(a,CARDINAL
105,the Presidential and Executive Office Accountability Act ( Public Law,the presidential and executive office accountability act ( public law,ACT
106,Act,act,ACT
107,1 year,1 year,DATE
108,the  Research to Accelerate Cures and Equity for Children Act RACE,the  research to accelerate cures and equity for children act race,ACT
109,Section 505B,section 505b,LAW
110,"the Federal Food, Drug","the federal food, drug",ORG
111,section 505B(e)(2)(C,section 505b(e)(2)(c,LAW
112,21,21,CARDINAL
113,Federal Regulations,federal regulations,ORG
114,30 days,30 days,DATE
115,later than 90 calendar days,later than 90 calendar days,DATE
116,a)(4,a)(4,ORG
117,2,2,CARDINAL
118,2)(C)(i,2)(c)(i,CARDINAL
119,2)(C)(i)(II,2)(c)(i)(ii,CARDINAL
120,Orphan,orphan,GPE
121,21 U.S.C.,21 u.s.c.,MONEY
122,355c(k,355c(k,CARDINAL
123,later than 1 year,later than 1 year,DATE
124,Health and Human Services,health and human services,ORG
125,505,505,CARDINAL
126,262,262,CARDINAL
127,Congress Section,congress section,ORG
128,the FDA Safety and Innovation Act,the fda safety and innovation act,ACT
129,section 505A,section 505a,LAW
130,21 U.S.C. 355a,21 u.s.c. 355a,MONEY
131,Section,section,ORG
132,Section 505A(d,section 505a(d,LAW
133,120 days,120 days,DATE
