billid,firstname,lastname,state,primaryorco
1,nan,Merkley,nan,Primary
1,nan,Warren,nan,Co
1,nan,Gillibrand,nan,Co
1,nan,Markey,nan,Co
1,nan,Wyden,nan,Co
1,nan,Sanders,nan,Co
1,nan,Feinstein,nan,Co
2,nan,nan,nan,Co
3,nan,Blunt,nan,Primary
3,nan,Cochran,nan,Co
3,nan,Cornyn,nan,Co
3,nan,Manchin,nan,Co
3,nan,Enzi,nan,Co
3,nan,Thune,nan,Co
3,nan,Strange,nan,Co
3,nan,Capito,nan,Co
4,nan,Norton,nan,Primary
4,nan,Pocan,nan,Co
4,nan,Pallone,nan,Co
5,nan,Bennet,nan,Primary
5,nan,Rubio,nan,Co
5,Van,Hollen,nan,Co
5,nan,Gardner,nan,Co
6,nan,Booker,nan,Primary
6,nan,Warren,nan,Co
6,nan,Schatz,nan,Co
6,nan,Markey,nan,Co
6,nan,Murray,nan,Co
6,nan,Sanders,nan,Co
6,nan,Leahy,nan,Co
6,nan,Merkley,nan,Co
6,nan,Hirono,nan,Co
6,nan,Wyden,nan,Co
7,nan,McCaul,nan,Primary
7,nan,Butterfield,nan,Co
7,nan,Duffy,nan,Co
8,nan,nan,nan,Co
9,nan,Comstock,nan,Primary
9,nan,Fitzpatrick,nan,Co
9,nan,Costa,nan,Co
9,nan,Hastings,nan,Co
9,nan,Jeffries,nan,Co
9,nan,Lipinski,nan,Co
9,nan,Peters,nan,Co
10,nan,Coons,nan,Primary
10,nan,Murkowski,nan,Co
10,nan,Harris,nan,Co
10,nan,Capito,nan,Co
10,nan,Markey,nan,Co
10,nan,Warren,nan,Co
10,nan,Carper,nan,Co
10,nan,Klobuchar,nan,Co
10,nan,Hassan,nan,Co
10,nan,Alexander,nan,Co
10,nan,Peters,nan,Co
10,nan,Whitehouse,nan,Co
10,nan,Wyden,nan,Co
10,nan,Durbin,nan,Co
10,nan,Merkley,nan,Co
10,nan,Smith,nan,Co
10,nan,Isakson,nan,Co
10,nan,Reed,nan,Co
10,nan,Collins,nan,Co
10,nan,Jones,nan,Co
10,nan,Manchin,nan,Co
10,nan,Kaine,nan,Co
10,nan,Murray,nan,Co
10,Van,Hollen,nan,Co
10,nan,Heitkamp,nan,Co
10,Cortez,Masto,nan,Co
10,nan,Casey,nan,Co
10,nan,Gillibrand,nan,Co
10,nan,Shaheen,nan,Co
10,nan,McCaskill,nan,Co
10,nan,Blumenthal,nan,Co
10,nan,Hirono,nan,Co
10,nan,King,nan,Co
10,nan,Nelson,nan,Co
10,nan,Blunt,nan,Co
10,nan,Warner,nan,Co
10,nan,Sanders,nan,Co
10,nan,Baldwin,nan,Co
10,nan,Rubio,nan,Co
10,nan,Feinstein,nan,Co
10,nan,Kennedy,nan,Co
10,nan,Scott,nan,Co
10,nan,Hyde-Smith,nan,Co
10,nan,Menendez,nan,Co
10,nan,Booker,nan,Co
10,nan,Portman,nan,Co
10,nan,Burr,nan,Co
11,nan,Leahy,nan,Primary
11,nan,Shaheen,nan,Co
11,nan,Hirono,nan,Co
11,nan,Booker,nan,Co
11,nan,Reed,nan,Co
11,nan,Carper,nan,Co
11,nan,Warren,nan,Co
11,nan,Sanders,nan,Co
11,nan,Coons,nan,Co
11,Van,Hollen,nan,Co
11,nan,Gillibrand,nan,Co
11,nan,Merkley,nan,Co
11,nan,Blumenthal,nan,Co
11,nan,Udall,nan,Co
11,nan,Markey,nan,Co
11,nan,Wyden,nan,Co
11,nan,Bennet,nan,Co
11,nan,Klobuchar,nan,Co
11,nan,Franken,nan,Co
11,nan,Brown,nan,Co
11,nan,Murphy,nan,Co
11,nan,Whitehouse,nan,Co
11,nan,Schatz,nan,Co
11,nan,Heitkamp,nan,Co
11,nan,Donnelly,nan,Co
11,nan,Heinrich,nan,Co
11,nan,Feinstein,nan,Co
11,nan,Durbin,nan,Co
11,nan,Casey,nan,Co
11,nan,Peters,nan,Co
11,nan,Schumer,nan,Co
12,nan,Cleaver,nan,Co
12,nan,Meeks,nan,Co
12,nan,Quigley,nan,Co
12,nan,Clay,nan,Co
12,nan,Butterfield,nan,Co
12,nan,Norton,nan,Co
12,nan,Rush,nan,Co
12,nan,Ellison,nan,Co
12,nan,Plaskett,nan,Co
12,nan,Beyer,nan,Co
12,nan,Jayapal,nan,Co
12,nan,Conyers,nan,Co
12,nan,Adams,nan,Co
12,Wasserman,Schultz,nan,Co
12,nan,Raskin,nan,Co
12,nan,Velázquez,nan,Co
12,nan,Moore,nan,Co
12,nan,Schakowsky,nan,Co
12,nan,Lee,nan,Co
12,nan,Grijalva,nan,Co
12,nan,Beatty,nan,Co
12,nan,Fudge,nan,Co
12,nan,Gutiérrez,nan,Co
12,nan,Richmond,nan,Co
12,nan,Hastings,nan,Co
12,nan,McNerney,nan,Co
12,nan,Lawrence,nan,Co
12,nan,Shea-Porter,nan,Co
