,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername,civid
0,2,,Franks,Arizona,Primary,416,ENGROSSED,Representative,
1,4,,Ryan,Ohio,Co,262,ENGROSSED,Representative,
2,4,,Davis,California,Co,403,ENGROSSED,Representative,
3,7,,Clarke,New York,Co,330,ENGROSSED,Representative,
4,8,Al,Green,Texas,Primary,132,ENGROSSED,Representative,
5,8,Al,Green,Texas,Primary,128,ENGROSSED,Representative,
6,9,,Clarke,New York,Co,330,ENGROSSED,Representative,
7,12,Al,Green,Texas,Primary,132,ENGROSSED,Representative,
8,12,Al,Green,Texas,Primary,128,ENGROSSED,Representative,
9,12,Danny K,Davis,Illinois,Co,187,ENGROSSED,Representative,
10,12,Danny K,Davis,Illinois,Co,158,ENGROSSED,Representative,
11,12,,Lewis,Georgia,Co,221,ENGROSSED,Representative,
12,12,,Bishop,Georgia,Co,9,ENGROSSED,Representative,
13,12,,Carson,Indiana,Co,202,ENGROSSED,Representative,
14,12,Maxine,Waters,California,Co,383,ENGROSSED,Representative,
15,12,,Wilson,Florida,Co,278,ENGROSSED,Representative,
16,12,,Gonzalez,Texas,Co,98,ENGROSSED,Representative,
17,12,,Kelly,Illinois,Co,177,ENGROSSED,Representative,
18,12,,Higgins,New York,Co,290,ENGROSSED,Representative,
19,12,,Johnson,Georgia,Co,0,ENGROSSED,Representative,184
20,12,,Smith,Washington,Co,357,ENGROSSED,Representative,340
21,13,Al,Green,Texas,Primary,132,ENGROSSED,Representative,
22,13,Al,Green,Texas,Primary,128,ENGROSSED,Representative,
23,13,,Brown,Maryland,Co,304,ENGROSSED,Representative,42
24,13,,Carson,Indiana,Co,202,ENGROSSED,Representative,
25,13,,Clarke,New York,Co,330,ENGROSSED,Representative,
26,13,Danny K,Davis,Illinois,Co,187,ENGROSSED,Representative,
27,13,Danny K,Davis,Illinois,Co,158,ENGROSSED,Representative,
28,13,,Gonzalez,Texas,Co,98,ENGROSSED,Representative,
29,13,Eddie B,Johnson,Texas,Co,117,ENGROSSED,Representative,184
30,13,Eddie B,Johnson,Texas,Co,113,ENGROSSED,Representative,184
31,13,,Johnson,Georgia,Co,0,ENGROSSED,Representative,184
32,13,,Kelly,Illinois,Co,177,ENGROSSED,Representative,
33,13,,Lewis,Georgia,Co,221,ENGROSSED,Representative,
34,13,David,Scott,Georgia,Co,230,ENGROSSED,Representative,328
35,13,David,Scott,Georgia,Co,216,ENGROSSED,Representative,328
36,13,,Sewell,Alabama,Co,172,ENGROSSED,Representative,
37,13,,Thompson,Mississippi,Co,155,ENGROSSED,Representative,
38,13,Maxine,Waters,California,Co,383,ENGROSSED,Representative,
39,13,,Wilson,Florida,Co,278,ENGROSSED,Representative,
40,13,,Smith,Washington,Co,357,ENGROSSED,Representative,340
41,17,Danny K,Davis,Illinois,Co,187,ENGROSSED,Representative,
42,17,Danny K,Davis,Illinois,Co,158,ENGROSSED,Representative,
43,18,,Scott,Virginia,Primary,52,ENROLLED,Representative,328
44,18,Judy,Chu,California,Co,388,ENROLLED,Representative,
45,18,Danny K,Davis,Illinois,Co,187,ENROLLED,Representative,
46,18,Danny K,Davis,Illinois,Co,158,ENROLLED,Representative,
47,18,,Wilson,Florida,Co,278,ENROLLED,Representative,
48,18,,Sewell,Alabama,Co,172,ENROLLED,Representative,
49,22,,Brownley,California,Co,92,ENROLLED,Representative,
50,22,Sean P,Maloney,New York,Co,329,ENROLLED,Representative,
51,22,Sean P,Maloney,New York,Co,322,ENROLLED,Representative,
52,22,,Frankel,Florida,Co,279,ENROLLED,Representative,
53,22,,Frankel,Florida,Co,277,ENROLLED,Representative,
54,22,,Ryan,Ohio,Co,262,ENROLLED,Representative,
