,billid,firstname,lastname,state,primaryorco,billstage,chambername,civid
0,1,,Merkley,,Primary,INTRODUCED,Representative,245
1,1,,Warren,,Co,INTRODUCED,Representative,382
2,1,,Gillibrand,,Co,INTRODUCED,Representative,142
3,1,,Markey,,Co,INTRODUCED,Representative,225
4,1,,Wyden,,Co,INTRODUCED,Representative,389
5,1,,Sanders,,Co,INTRODUCED,Representative,318
6,1,,Feinstein,,Co,INTRODUCED,Representative,123
7,2,,,,Co,INTRODUCED,Senator,
8,3,,Blunt,,Primary,INTRODUCED,Representative,35
9,3,,Cochran,,Co,INTRODUCED,Representative,66
10,3,,Cornyn,,Co,INTRODUCED,Representative,78
11,3,,Manchin,,Co,INTRODUCED,Representative,223
12,3,,Enzi,,Co,INTRODUCED,Representative,115
13,3,,Thune,,Co,INTRODUCED,Representative,357
14,3,,Strange,,Co,INTRODUCED,Representative,348
15,3,,Capito,,Co,INTRODUCED,Representative,51
16,4,,Norton,,Primary,INTRODUCED,Senator,264
17,4,,Pocan,,Co,INTRODUCED,Senator,286
18,4,,Pallone,,Co,INTRODUCED,Senator,269
19,5,,Bennet,,Primary,INTRODUCED,Senator,24
20,5,,Rubio,,Co,INTRODUCED,Senator,312
21,5,Van,Hollen,,Co,INTRODUCED,Senator,6
22,5,,Gardner,,Co,INTRODUCED,Senator,
23,6,,Booker,,Primary,INTRODUCED,Representative,
24,6,,Warren,,Co,INTRODUCED,Representative,
25,6,,Schatz,,Co,INTRODUCED,Representative,
26,6,,Markey,,Co,INTRODUCED,Representative,
27,6,,Murray,,Co,INTRODUCED,Representative,
28,6,,Sanders,,Co,INTRODUCED,Representative,
29,6,,Leahy,,Co,INTRODUCED,Representative,
30,6,,Merkley,,Co,INTRODUCED,Representative,
31,6,,Hirono,,Co,INTRODUCED,Representative,
32,6,,Wyden,,Co,INTRODUCED,Representative,
33,7,,McCaul,,Primary,INTRODUCED,Representative,
34,7,,Butterfield,,Co,INTRODUCED,Representative,
35,7,,Duffy,,Co,INTRODUCED,Representative,
36,8,,,,Co,INTRODUCED,Representative,
37,9,,Comstock,,Primary,INTRODUCED,Senator,
38,9,,Fitzpatrick,,Co,INTRODUCED,Senator,
39,9,,Costa,,Co,INTRODUCED,Senator,
40,9,,Hastings,,Co,INTRODUCED,Senator,
41,9,,Jeffries,,Co,INTRODUCED,Senator,
42,9,,Lipinski,,Co,INTRODUCED,Senator,
43,9,,Peters,,Co,INTRODUCED,Senator,
44,10,,Coons,,Primary,,,
45,10,,Murkowski,,Co,,,
46,10,,Harris,,Co,,,
47,10,,Capito,,Co,,,
48,10,,Markey,,Co,,,
49,10,,Warren,,Co,,,
50,10,,Carper,,Co,,,
51,10,,Klobuchar,,Co,,,
52,10,,Hassan,,Co,,,
53,10,,Alexander,,Co,,,
54,10,,Peters,,Co,,,
55,10,,Whitehouse,,Co,,,
56,10,,Wyden,,Co,,,
57,10,,Durbin,,Co,,,
58,10,,Merkley,,Co,,,
59,10,,Smith,,Co,,,
60,10,,Isakson,,Co,,,
61,10,,Reed,,Co,,,
62,10,,Collins,,Co,,,
63,10,,Jones,,Co,,,
64,10,,Manchin,,Co,,,
65,10,,Kaine,,Co,,,
66,10,,Murray,,Co,,,
67,10,Van,Hollen,,Co,,,6
68,10,,Heitkamp,,Co,,,
69,10,Cortez,Masto,,Co,,,
