,billid,firstname,lastname,state,primaryorco,billstage,chambername
0,1,,Merkley,,Primary,ENGROSSED,Representative
1,1,,Warren,,Co,ENGROSSED,Representative
2,1,,Gillibrand,,Co,ENGROSSED,Representative
3,1,,Markey,,Co,ENGROSSED,Representative
4,1,,Wyden,,Co,ENGROSSED,Representative
5,1,,Sanders,,Co,ENGROSSED,Representative
6,1,,Feinstein,,Co,ENGROSSED,Representative
7,2,,,,Co,ENGROSSED,Representative
8,3,,Blunt,,Primary,ENGROSSED,Representative
9,3,,Cochran,,Co,ENGROSSED,Representative
10,3,,Cornyn,,Co,ENGROSSED,Representative
11,3,,Manchin,,Co,ENGROSSED,Representative
12,3,,Enzi,,Co,ENGROSSED,Representative
13,3,,Thune,,Co,ENGROSSED,Representative
14,3,,Strange,,Co,ENGROSSED,Representative
15,3,,Capito,,Co,ENGROSSED,Representative
16,4,,Norton,,Primary,ENGROSSED,Representative
17,4,,Pocan,,Co,ENGROSSED,Representative
18,4,,Pallone,,Co,ENGROSSED,Representative
19,5,,Bennet,,Primary,ENGROSSED,Representative
20,5,,Rubio,,Co,ENGROSSED,Representative
21,5,Van,Hollen,,Co,ENGROSSED,Representative
22,5,,Gardner,,Co,ENGROSSED,Representative
23,6,,Booker,,Primary,ENGROSSED,Representative
24,6,,Warren,,Co,ENGROSSED,Representative
25,6,,Schatz,,Co,ENGROSSED,Representative
26,6,,Markey,,Co,ENGROSSED,Representative
27,6,,Murray,,Co,ENGROSSED,Representative
28,6,,Sanders,,Co,ENGROSSED,Representative
29,6,,Leahy,,Co,ENGROSSED,Representative
30,6,,Merkley,,Co,ENGROSSED,Representative
31,6,,Hirono,,Co,ENGROSSED,Representative
32,6,,Wyden,,Co,ENGROSSED,Representative
33,7,,McCaul,,Primary,ENGROSSED,Representative
34,7,,Butterfield,,Co,ENGROSSED,Representative
35,7,,Duffy,,Co,ENGROSSED,Representative
36,8,,,,Co,ENGROSSED,Representative
37,9,,Comstock,,Primary,ENGROSSED,Representative
38,9,,Fitzpatrick,,Co,ENGROSSED,Representative
39,9,,Costa,,Co,ENGROSSED,Representative
40,9,,Hastings,,Co,ENGROSSED,Representative
41,9,,Jeffries,,Co,ENGROSSED,Representative
42,9,,Lipinski,,Co,ENGROSSED,Representative
43,9,,Peters,,Co,ENGROSSED,Representative
44,10,,Coons,,Primary,ENGROSSED,Representative
45,10,,Murkowski,,Co,ENGROSSED,Representative
46,10,,Harris,,Co,ENGROSSED,Representative
47,10,,Capito,,Co,ENGROSSED,Representative
48,10,,Markey,,Co,ENGROSSED,Representative
49,10,,Warren,,Co,ENGROSSED,Representative
50,10,,Carper,,Co,ENGROSSED,Representative
51,10,,Klobuchar,,Co,ENGROSSED,Representative
52,10,,Hassan,,Co,ENGROSSED,Representative
53,10,,Alexander,,Co,ENGROSSED,Representative
54,10,,Peters,,Co,ENGROSSED,Representative
55,10,,Whitehouse,,Co,ENGROSSED,Representative
56,10,,Wyden,,Co,ENGROSSED,Representative
57,10,,Durbin,,Co,ENGROSSED,Representative
58,10,,Merkley,,Co,ENGROSSED,Representative
59,10,,Smith,,Co,ENGROSSED,Representative
60,10,,Isakson,,Co,ENGROSSED,Representative
61,10,,Reed,,Co,ENGROSSED,Representative
62,10,,Collins,,Co,ENGROSSED,Representative
63,10,,Jones,,Co,ENGROSSED,Representative
64,10,,Manchin,,Co,ENGROSSED,Representative
65,10,,Kaine,,Co,ENGROSSED,Representative
66,10,,Murray,,Co,ENGROSSED,Representative
67,10,Van,Hollen,,Co,ENGROSSED,Representative
68,10,,Heitkamp,,Co,ENGROSSED,Representative
69,10,Cortez,Masto,,Co,ENGROSSED,Representative
70,10,,Casey,,Co,ENGROSSED,Representative
71,10,,Gillibrand,,Co,ENGROSSED,Representative
72,10,,Shaheen,,Co,ENGROSSED,Representative
73,10,,McCaskill,,Co,ENGROSSED,Representative
74,10,,Blumenthal,,Co,ENGROSSED,Representative
75,10,,Hirono,,Co,ENGROSSED,Representative
76,10,,King,,Co,ENGROSSED,Representative
77,10,,Nelson,,Co,ENGROSSED,Representative
78,10,,Blunt,,Co,ENGROSSED,Representative
79,10,,Warner,,Co,ENGROSSED,Representative
80,10,,Sanders,,Co,ENGROSSED,Representative
81,10,,Baldwin,,Co,ENGROSSED,Representative
82,10,,Rubio,,Co,ENGROSSED,Representative
83,10,,Feinstein,,Co,ENGROSSED,Representative
84,10,,Kennedy,,Co,ENGROSSED,Representative
85,10,,Scott,,Co,ENGROSSED,Representative
86,10,,Hyde-Smith,,Co,ENGROSSED,Representative
