,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername
0,2,,Franks,Arizona,Primary,416,INTRODUCED,Senator
1,4,,Ryan,Ohio,Co,262,INTRODUCED,Senator
2,4,,Davis,California,Co,403,INTRODUCED,Senator
3,7,,Clarke,New York,Co,330,INTRODUCED,Representative
4,8,Al,Green,Texas,Primary,132,INTRODUCED,Representative
5,8,Al,Green,Texas,Primary,128,INTRODUCED,Representative
6,9,,Clarke,New York,Co,330,INTRODUCED,Senator
7,12,Al,Green,Texas,Primary,132,,
8,12,Al,Green,Texas,Primary,128,,
9,12,Danny K,Davis,Illinois,Co,187,,
10,12,Danny K,Davis,Illinois,Co,158,,
11,12,,Lewis,Georgia,Co,221,,
12,12,,Bishop,Georgia,Co,9,,
13,12,,Carson,Indiana,Co,202,,
14,12,Maxine,Waters,California,Co,383,,
15,12,,Wilson,Florida,Co,278,,
16,12,,Gonzalez,Texas,Co,98,,
17,12,,Kelly,Illinois,Co,177,,
18,12,,Higgins,New York,Co,290,,
19,12,,Johnson,Georgia,Co,0,,
20,12,,Smith,Washington,Co,357,,
21,13,Al,Green,Texas,Primary,132,,
22,13,Al,Green,Texas,Primary,128,,
23,13,,Brown,Maryland,Co,304,,
24,13,,Carson,Indiana,Co,202,,
25,13,,Clarke,New York,Co,330,,
26,13,Danny K,Davis,Illinois,Co,187,,
27,13,Danny K,Davis,Illinois,Co,158,,
28,13,,Gonzalez,Texas,Co,98,,
29,13,Eddie B,Johnson,Texas,Co,117,,
30,13,Eddie B,Johnson,Texas,Co,113,,
31,13,,Johnson,Georgia,Co,0,,
32,13,,Kelly,Illinois,Co,177,,
33,13,,Lewis,Georgia,Co,221,,
34,13,David,Scott,Georgia,Co,230,,
35,13,David,Scott,Georgia,Co,216,,
36,13,,Sewell,Alabama,Co,172,,
37,13,,Thompson,Mississippi,Co,155,,
38,13,Maxine,Waters,California,Co,383,,
39,13,,Wilson,Florida,Co,278,,
40,13,,Smith,Washington,Co,357,,
41,17,Danny K,Davis,Illinois,Co,187,,
42,17,Danny K,Davis,Illinois,Co,158,,
43,18,,Scott,Virginia,Primary,52,,
44,18,Judy,Chu,California,Co,388,,
45,18,Danny K,Davis,Illinois,Co,187,,
46,18,Danny K,Davis,Illinois,Co,158,,
47,18,,Wilson,Florida,Co,278,,
48,18,,Sewell,Alabama,Co,172,,
49,22,,Brownley,California,Co,92,INTRODUCED,Representative
50,22,Sean P,Maloney,New York,Co,329,INTRODUCED,Representative
51,22,Sean P,Maloney,New York,Co,322,INTRODUCED,Representative
52,22,,Frankel,Florida,Co,279,INTRODUCED,Representative
53,22,,Frankel,Florida,Co,277,INTRODUCED,Representative
54,22,,Ryan,Ohio,Co,262,INTRODUCED,Representative
55,22,Brendan F,Boyle,Pennsylvania,Co,315,INTRODUCED,Representative
56,22,,Scott,Virginia,Co,52,INTRODUCED,Representative
57,22,,Davis,California,Co,403,INTRODUCED,Representative
58,22,,Castro,Texas,Co,99,INTRODUCED,Representative
59,22,,Murphy,Florida,Co,264,INTRODUCED,Representative
60,22,,Kelly,Illinois,Co,177,INTRODUCED,Representative
61,22,,Lawson,Florida,Co,249,INTRODUCED,Representative
62,22,,Clark,Massachusetts,Co,347,INTRODUCED,Representative
63,22,,Larson,Connecticut,Co,342,INTRODUCED,Representative
64,22,,Brown,Maryland,Co,304,INTRODUCED,Representative
65,22,,Rice,New York,Co,335,INTRODUCED,Representative
66,22,,Gonzalez,Texas,Co,98,INTRODUCED,Representative
67,22,,Swalwell,California,Co,361,INTRODUCED,Representative
68,22,,Kuster,New Hampshire,Co,345,INTRODUCED,Representative
69,22,,Esty,Connecticut,Co,337,INTRODUCED,Representative
70,22,David,Scott,Georgia,Co,230,INTRODUCED,Representative
71,22,David,Scott,Georgia,Co,216,INTRODUCED,Representative
72,22,,Thompson,California,Co,354,INTRODUCED,Representative
73,22,Ted,Lieu,California,Co,378,INTRODUCED,Representative
74,22,Michael F,Doyle,Pennsylvania,Co,282,INTRODUCED,Representative
75,22,,Lewis,Georgia,Co,221,INTRODUCED,Representative
76,22,,Brady,Pennsylvania,Co,316,INTRODUCED,Representative
77,22,,Castor,Florida,Co,42,INTRODUCED,Representative
78,22,,Clarke,New York,Co,330,INTRODUCED,Representative
79,22,,Price,North Carolina,Co,288,INTRODUCED,Representative
80,22,,Larsen,Washington,Co,83,INTRODUCED,Representative
81,22,,Carson,Indiana,Co,202,INTRODUCED,Representative
82,22,Danny K,Davis,Illinois,Co,187,INTRODUCED,Representative
83,22,Danny K,Davis,Illinois,Co,158,INTRODUCED,Representative
84,22,,Sewell,Alabama,Co,172,INTRODUCED,Representative
85,22,Maxine,Waters,California,Co,383,INTRODUCED,Representative
86,22,,Johnson,Georgia,Co,0,INTRODUCED,Representative
87,22,,Smith,Washington,Co,357,INTRODUCED,Representative
88,22,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Representative
89,22,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Representative
90,22,Al,Green,Texas,Co,132,INTRODUCED,Representative
91,22,Al,Green,Texas,Co,128,INTRODUCED,Representative
92,22,,Bishop,Georgia,Co,9,INTRODUCED,Representative
93,22,Judy,Chu,California,Co,388,INTRODUCED,Representative
94,22,,Wilson,Florida,Co,278,INTRODUCED,Representative
95,22,,Higgins,New York,Co,290,INTRODUCED,Representative
96,22,,Thompson,Mississippi,Co,155,INTRODUCED,Representative
97,22,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Representative
98,22,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Representative
99,22,Gene,Green,Texas,Co,132,INTRODUCED,Representative
100,22,Gene,Green,Texas,Co,128,INTRODUCED,Representative
101,23,,Johnson,Georgia,Co,0,INTRODUCED,Senator
102,23,Ted,Lieu,California,Co,378,INTRODUCED,Senator
103,26,Al,Green,Texas,Primary,132,INTRODUCED,Representative
104,26,Al,Green,Texas,Primary,128,INTRODUCED,Representative
105,27,,Clarke,New York,Co,330,INTRODUCED,Representative
106,27,Al,Green,Texas,Co,132,INTRODUCED,Representative
107,27,Al,Green,Texas,Co,128,INTRODUCED,Representative
108,27,,Higgins,New York,Co,290,INTRODUCED,Representative
109,27,Sean P,Maloney,New York,Co,329,INTRODUCED,Representative
110,27,Sean P,Maloney,New York,Co,322,INTRODUCED,Representative
111,27,,Rice,New York,Co,335,INTRODUCED,Representative
112,27,,Ryan,Ohio,Co,262,INTRODUCED,Representative
113,27,,Swalwell,California,Co,361,INTRODUCED,Representative
114,28,,Scott,Virginia,Co,52,INTRODUCED,Representative
115,30,Judy,Chu,California,Co,388,INTRODUCED,Senator
116,30,,Rice,New York,Co,335,INTRODUCED,Senator
117,30,,Davis,California,Co,403,INTRODUCED,Senator
118,30,,Kelly,Illinois,Co,177,INTRODUCED,Senator
119,30,,Lewis,Georgia,Co,221,INTRODUCED,Senator
120,30,,Brownley,California,Co,92,INTRODUCED,Senator
121,30,Sean P,Maloney,New York,Co,329,INTRODUCED,Senator
122,30,Sean P,Maloney,New York,Co,322,INTRODUCED,Senator
123,30,,Scott,Virginia,Co,52,INTRODUCED,Senator
124,30,,Curbelo,Florida,Co,45,INTRODUCED,Senator
125,30,,Johnson,Georgia,Co,0,INTRODUCED,Senator
126,30,,Esty,Connecticut,Co,337,INTRODUCED,Senator
127,30,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Senator
128,30,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Senator
129,30,,Clark,Massachusetts,Co,347,INTRODUCED,Senator
130,30,David,Scott,Georgia,Co,230,INTRODUCED,Senator
131,30,David,Scott,Georgia,Co,216,INTRODUCED,Senator
132,30,,Costello,Pennsylvania,Co,308,INTRODUCED,Senator
133,30,,Higgins,New York,Co,290,INTRODUCED,Senator
134,30,,Kuster,New Hampshire,Co,345,INTRODUCED,Senator
135,33,Judy,Chu,California,Co,388,INTRODUCED,Representative
136,33,,Swalwell,California,Co,361,INTRODUCED,Representative
137,33,Sean P,Maloney,New York,Co,329,INTRODUCED,Representative
138,33,Sean P,Maloney,New York,Co,322,INTRODUCED,Representative
139,33,,Clarke,New York,Co,330,INTRODUCED,Representative
140,33,,Davis,California,Co,403,INTRODUCED,Representative
141,33,Ted,Lieu,California,Co,378,INTRODUCED,Representative
142,33,,Carson,Indiana,Co,202,INTRODUCED,Representative
143,33,,Johnson,Georgia,Co,0,INTRODUCED,Representative
144,33,,Brownley,California,Co,92,INTRODUCED,Representative
145,34,Ted,Lieu,California,Primary,378,INTRODUCED,Senator
146,34,,Curbelo,Florida,Co,45,INTRODUCED,Senator
147,37,,Thompson,Mississippi,Primary,155,INTRODUCED,Senator
148,39,,Sewell,Alabama,Primary,172,,
149,39,Judy,Chu,California,Co,388,,
150,39,,Lewis,Georgia,Co,221,,
151,39,,Bishop,Georgia,Co,9,,
152,39,Brendan F,Boyle,Pennsylvania,Co,315,,
153,39,,Brady,Pennsylvania,Co,316,,
154,39,,Brown,Maryland,Co,304,,
