civilian_id,firstname,lastname,state
1,Blunt,Rochester,nan
2,Cortez,Masto,nan
3,Herrera,Beutler,nan
4,Jackson,Lee,nan
5,McMorris,Rodgers,nan
6,Van,Hollen,nan
7,Wasserman,Schultz,nan
8,Watson,Coleman,nan
9,nan,Abraham,nan
10,nan,Adams,nan
11,nan,Aguilar,nan
12,nan,Alexander,nan
13,nan,Allen,nan
14,nan,Amodei,nan
15,nan,Bacon,nan
16,nan,Baldwin,nan
17,nan,Barletta,nan
18,nan,Barr,nan
19,nan,Barragán,nan
20,nan,Barrasso,nan
21,nan,Barton,nan
22,nan,Bass,nan
23,nan,Beatty,nan
24,nan,Bennet,nan
25,nan,Bera,nan
26,nan,Bergman,nan
27,nan,Beyer,nan
28,nan,Biggs,nan
29,nan,Bilirakis,nan
30,nan,Black,nan
31,nan,Blackburn,nan
32,nan,Blum,nan
33,nan,Blumenauer,nan
34,nan,Blumenthal,nan
35,nan,Blunt,nan
36,nan,Bonamici,nan
37,nan,Booker,nan
38,nan,Boozman,nan
39,nan,Bordallo,nan
40,nan,Bost,nan
41,nan,Brat,nan
42,nan,Brown,nan
43,nan,Buchanan,nan
44,nan,Buck,nan
45,nan,Burgess,nan
46,nan,Burr,nan
47,nan,Bustos,nan
48,nan,Butterfield,nan
49,nan,Byrne,nan
50,nan,Cantwell,nan
51,nan,Capito,nan
52,nan,Capuano,nan
53,nan,Carbajal,nan
54,nan,Cardin,nan
55,nan,Carper,nan
56,nan,Cartwright,nan
57,nan,Casey,nan
58,nan,Cassidy,nan
59,nan,Chabot,nan
60,nan,Chaffetz,nan
61,nan,Cheney,nan
62,nan,Cicilline,nan
63,nan,Clay,nan
64,nan,Cleaver,nan
65,nan,Clyburn,nan
66,nan,Cochran,nan
67,nan,Coffman,nan
68,nan,Cohen,nan
69,nan,Cole,nan
70,nan,Collins,nan
71,nan,Comstock,nan
72,nan,Connolly,nan
73,nan,Conyers,nan
74,nan,Cook,nan
75,nan,Coons,nan
76,nan,Cooper,nan
77,nan,Corker,nan
78,nan,Cornyn,nan
79,nan,Correa,nan
80,nan,Costa,nan
81,nan,Cotton,nan
82,nan,Courtney,nan
83,nan,Cramer,nan
84,nan,Crapo,nan
85,nan,Crawford,nan
86,nan,Crist,nan
87,nan,Crowley,nan
88,nan,Cruz,nan
89,nan,Cuellar,nan
90,nan,Cummings,nan
91,nan,Cárdenas,nan
92,nan,Daines,nan
93,nan,DeFazio,nan
94,nan,DeGette,nan
95,nan,DeLauro,nan
96,nan,DeSaulnier,nan
97,nan,DelBene,nan
98,nan,Delaney,nan
99,nan,Demings,nan
100,nan,Denham,nan
101,nan,Dent,nan
102,nan,DesJarlais,nan
103,nan,Deutch,nan
104,nan,Diaz-Balart,nan
105,nan,Dingell,nan
106,nan,Doggett,nan
107,nan,Donnelly,nan
108,nan,Donovan,nan
109,nan,Duckworth,nan
110,nan,Duffy,nan
111,nan,Dunn,nan
112,nan,Durbin,nan
113,nan,Ellison,nan
114,nan,Engel,nan
115,nan,Enzi,nan
116,nan,Ernst,nan
117,nan,Eshoo,nan
118,nan,Espaillat,nan
119,nan,Esty,nan
120,nan,Evans,nan
121,nan,Farenthold,nan
122,nan,Faso,nan
123,nan,Feinstein,nan
124,nan,Ferguson,nan
125,nan,Fischer,nan
126,nan,Fitzpatrick,nan
127,nan,Flake,nan
128,nan,Fleischmann,nan
129,nan,Flores,nan
130,nan,Fortenberry,nan
131,nan,Foster,nan
132,nan,Foxx,nan
133,nan,Franken,nan
134,nan,Fudge,nan
135,nan,Gabbard,nan
136,nan,Gaetz,nan
137,nan,Gallagher,nan
138,nan,Gallego,nan
139,nan,Garamendi,nan
140,nan,Gardner,nan
141,nan,Garrett,nan
142,nan,Gillibrand,nan
143,nan,Gomez,nan
144,nan,Goodlatte,nan
145,nan,Gosar,nan
146,nan,Gottheimer,nan
147,nan,Gowdy,nan
148,nan,Graham,nan
149,nan,Granger,nan
150,nan,Grassley,nan
151,nan,Griffith,nan
152,nan,Grijalva,nan
153,nan,Guthrie,nan
154,nan,Gutiérrez,nan
155,nan,Hanabusa,nan
156,nan,Handel,nan
157,nan,Harper,nan
158,nan,Harris,nan
159,nan,Hassan,nan
160,nan,Hastings,nan
161,nan,Hatch,nan
162,nan,Heck,nan
163,nan,Heinrich,nan
164,nan,Heitkamp,nan
165,nan,Heller,nan
166,nan,Hill,nan
167,nan,Himes,nan
168,nan,Hirono,nan
169,nan,Hoeven,nan
170,nan,Holding,nan
171,nan,Hoyer,nan
172,nan,Hudson,nan
173,nan,Huffman,nan
174,nan,Huizenga,nan
175,nan,Hultgren,nan
176,nan,Hunter,nan
177,nan,Hurd,nan
178,nan,Hyde-Smith,nan
179,nan,Inhofe,nan
180,nan,Isakson,nan
181,nan,Issa,nan
182,nan,Jayapal,nan
183,nan,Jeffries,nan
184,nan,Johnson,nan
185,nan,Jones,nan
186,nan,Jordan,nan
187,nan,Kaine,nan
188,nan,Kaptur,nan
189,nan,Katko,nan
190,nan,Keating,nan
191,nan,Kennedy,nan
192,nan,Khanna,nan
193,nan,Kihuen,nan
194,nan,Kildee,nan
195,nan,Kilmer,nan
196,nan,Kind,nan
197,nan,King,nan
198,nan,Kinzinger,nan
199,nan,Klobuchar,nan
200,nan,Knight,nan
201,nan,Krishnamoorthi,nan
202,nan,LaMalfa,nan
203,nan,Labrador,nan
204,nan,Lamb,nan
205,nan,Lance,nan
206,nan,Langevin,nan
207,nan,Lankford,nan
208,nan,Lawrence,nan
209,nan,Leahy,nan
210,nan,Lee,nan
211,nan,Levin,nan
212,nan,Lipinski,nan
213,nan,LoBiondo,nan
214,nan,Loebsack,nan
215,nan,Lofgren,nan
216,nan,Loudermilk,nan
217,nan,Love,nan
218,nan,Lowenthal,nan
219,nan,Lowey,nan
220,nan,Lucas,nan
221,nan,Lynch,nan
222,nan,MacArthur,nan
223,nan,Manchin,nan
224,nan,Marino,nan
225,nan,Markey,nan
226,nan,Massie,nan
227,nan,Mast,nan
228,nan,Matsui,nan
229,nan,McCain,nan
230,nan,McCarthy,nan
231,nan,McCaskill,nan
232,nan,McCaul,nan
233,nan,McCollum,nan
234,nan,McConnell,nan
235,nan,McEachin,nan
236,nan,McGovern,nan
237,nan,McKinley,nan
238,nan,McNerney,nan
239,nan,McSally,nan
240,nan,Meadows,nan
241,nan,Meehan,nan
242,nan,Meeks,nan
243,nan,Menendez,nan
244,nan,Meng,nan
245,nan,Merkley,nan
246,nan,Messer,nan
247,nan,Mitchell,nan
248,nan,Moolenaar,nan
249,nan,Moore,nan
250,nan,Moran,nan
251,nan,Moulton,nan
252,nan,Mullin,nan
253,nan,Murkowski,nan
254,nan,Murphy,nan
255,nan,Murray,nan
256,nan,Nadler,nan
257,nan,Napolitano,nan
258,nan,Neal,nan
259,nan,Nelson,nan
260,nan,Newhouse,nan
261,nan,Noem,nan
262,nan,Nolan,nan
263,nan,Norcross,nan
264,nan,Norton,nan
265,nan,OHalleran,nan
266,nan,ORourke,nan
267,nan,Olson,nan
268,nan,Palazzo,nan
269,nan,Pallone,nan
270,nan,Palmer,nan
271,nan,Panetta,nan
272,nan,Pascrell,nan
273,nan,Paul,nan
274,nan,Paulsen,nan
275,nan,Payne,nan
276,nan,Pearce,nan
277,nan,Pelosi,nan
278,nan,Perdue,nan
279,nan,Perlmutter,nan
280,nan,Perry,nan
281,nan,Peters,nan
282,nan,Peterson,nan
283,nan,Pingree,nan
284,nan,Pittenger,nan
285,nan,Plaskett,nan
286,nan,Pocan,nan
287,nan,Poliquin,nan
288,nan,Polis,nan
289,nan,Portman,nan
290,nan,Posey,nan
291,nan,Quigley,nan
292,nan,Radewagen,nan
293,nan,Raskin,nan
294,nan,Ratcliffe,nan
295,nan,Reed,nan
296,nan,Reichert,nan
297,nan,Renacci,nan
298,nan,Richmond,nan
299,nan,Risch,nan
300,nan,Roberts,nan
301,nan,Roby,nan
302,nan,Rohrabacher,nan
303,nan,Rokita,nan
304,nan,Ros-Lehtinen,nan
305,nan,Rosen,nan
306,nan,Roskam,nan
307,nan,Ross,nan
308,nan,Rothfus,nan
309,nan,Rounds,nan
310,nan,Rouzer,nan
311,nan,Roybal-Allard,nan
312,nan,Rubio,nan
313,nan,Ruiz,nan
314,nan,Ruppersberger,nan
315,nan,Rush,nan
316,nan,Rutherford,nan
317,nan,Sablan,nan
318,nan,Sanders,nan
319,nan,Sanford,nan
320,nan,Sarbanes,nan
321,nan,Schakowsky,nan
322,nan,Schatz,nan
323,nan,Schiff,nan
324,nan,Schneider,nan
325,nan,Schrader,nan
326,nan,Schumer,nan
327,nan,Schweikert,nan
328,nan,Scott,nan
329,nan,Sensenbrenner,nan
330,nan,Serrano,nan
331,nan,Sessions,nan
332,nan,Shaheen,nan
333,nan,Shea-Porter,nan
334,nan,Shelby,nan
335,nan,Sherman,nan
336,nan,Shuster,nan
337,nan,Sinema,nan
338,nan,Sires,nan
339,nan,Slaughter,nan
340,nan,Smith,nan
341,nan,Smucker,nan
342,nan,Soto,nan
343,nan,Speier,nan
344,nan,Stabenow,nan
345,nan,Stefanik,nan
346,nan,Stewart,nan
347,nan,Stivers,nan
348,nan,Strange,nan
349,nan,Sullivan,nan
350,nan,Suozzi,nan
351,nan,Sánchez,nan
352,nan,Takano,nan
353,nan,Taylor,nan
354,nan,Tenney,nan
355,nan,Tester,nan
356,nan,Thornberry,nan
357,nan,Thune,nan
358,nan,Tiberi,nan
359,nan,Tillis,nan
360,nan,Tipton,nan
361,nan,Titus,nan
362,nan,Tonko,nan
363,nan,Toomey,nan
364,nan,Torres,nan
365,nan,Trott,nan
366,nan,Tsongas,nan
367,nan,Turner,nan
368,nan,Udall,nan
369,nan,Upton,nan
370,nan,Valadao,nan
371,nan,Vargas,nan
372,nan,Veasey,nan
373,nan,Vela,nan
374,nan,Velázquez,nan
375,nan,Visclosky,nan
376,nan,Wagner,nan
377,nan,Walberg,nan
378,nan,Walker,nan
379,nan,Walorski,nan
380,nan,Walz,nan
381,nan,Warner,nan
382,nan,Warren,nan
383,nan,Welch,nan
384,nan,Westerman,nan
385,nan,Whitehouse,nan
386,nan,Wicker,nan
387,nan,Wittman,nan
388,nan,Woodall,nan
389,nan,Wyden,nan
390,nan,Yarmuth,nan
391,nan,Yoder,nan
392,nan,Young,nan
393,nan,Zeldin,nan
