seatid,representativeid,committeeid,chair
1,316,5,vice chair
2,48,15,nan
3,277,52,nan
4,45,55,nan
5,158,29,vice chair
6,113,52,nan
7,279,22,nan
8,230,20,vice chair
9,103,4,nan
10,128,20,vice chair
11,403,13,nan
12,304,18,nan
13,178,22,nan
14,9,4,nan
15,357,5,vice chair
16,335,54,nan
17,77,52,nan
18,216,1,nan
19,452,35,nan
20,43,13,nan
21,452,45,chair
22,261,4,nan
23,113,30,nan
24,279,52,nan
25,248,13,nan
26,229,38,nan
27,430,1,nan
28,249,1,nan
29,280,1,nan
30,288,4,nan
31,125,4,nan
32,0,52,nan
33,0,35,nan
34,229,5,vice chair
35,230,1,nan
36,335,25,nan
37,249,48,nan
38,229,39,nan
39,222,55,nan
40,378,22,nan
41,315,22,nan
42,254,13,nan
43,216,20,vice chair
44,177,39,nan
45,4,39,nan
46,19,55,chair
47,199,5,vice chair
48,442,55,nan
49,329,20,vice chair
50,262,4,nan
51,199,25,nan
52,38,38,nan
53,92,54,nan
54,201,18,chair
55,248,41,nan
56,158,55,nan
57,129,22,nan
58,187,1,nan
59,280,13,nan
60,342,55,nan
61,44,15,nan
62,272,55,nan
63,98,20,vice chair
64,282,15,nan
65,187,27,nan
66,323,22,nan
67,216,5,vice chair
68,120,48,nan
69,337,44,nan
70,278,13,nan
71,248,4,nan
72,322,39,nan
73,43,4,nan
74,150,9,nan
75,214,4,nan
76,383,20,vice chair
77,403,5,vice chair
78,394,18,nan
79,329,39,nan
80,452,25,nan
81,221,33,nan
82,442,27,nan
83,164,5,vice chair
84,158,1,nan
85,248,22,nan
86,304,38,nan
87,248,34,nan
88,322,20,vice chair
89,164,48,nan
90,329,1,nan
91,251,20,vice chair
92,187,55,nan
93,117,52,nan
94,152,38,nan
95,392,20,vice chair
96,152,52,nan
97,187,29,vice chair
98,99,22,nan
99,392,22,chair
100,1,52,nan
101,330,48,nan
102,278,52,nan
103,83,52,nan
104,277,22,nan
105,347,4,nan
106,202,41,nan
107,42,15,nan
108,19,30,vice chair
109,245,4,nan
110,336,41,nan
111,113,44,nan
112,199,1,nan
113,361,35,nan
114,388,55,nan
115,254,22,nan
116,127,52,nan
117,394,15,nan
118,158,52,nan
119,322,34,nan
120,113,55,nan
121,43,22,nan
122,232,54,chair
123,361,41,nan
124,316,29,nan
125,330,15,nan
126,337,54,nan
127,164,1,nan
128,308,15,nan
129,120,35,nan
130,120,1,nan
131,43,34,nan
132,241,9,nan
133,202,52,nan
134,187,52,nan
135,336,20,vice chair
136,273,55,nan
137,236,15,nan
138,155,25,nan
139,117,30,nan
140,336,25,nan
141,127,5,vice chair
142,254,5,vice chair
143,220,42,nan
144,241,15,nan
145,337,52,nan
146,129,35,nan
147,329,52,nan
148,221,55,nan
149,132,20,vice chair
150,220,35,nan
151,388,48,nan
152,178,5,vice chair
153,322,52,nan
154,117,44,nan
155,315,9,nan
156,38,52,nan
157,150,55,nan
158,329,34,nan
159,178,44,nan
160,52,13,nan
161,83,5,vice chair
162,43,41,nan
163,38,44,nan
164,378,35,nan
165,132,15,nan
166,4,52,nan
167,99,41,nan
168,1,44,nan
169,354,55,nan
170,232,13,nan
171,316,31,nan
172,118,55,nan
173,304,5,vice chair
174,290,55,nan
175,177,22,nan
176,201,15,nan
177,430,9,nan
178,158,27,nan
179,170,51,nan
180,172,41,nan
181,290,9,nan
182,330,18,nan
183,316,27,nan
184,429,15,nan
185,209,4,nan
186,414,38,chair
187,280,38,nan
188,128,15,nan
189,230,5,vice chair
190,322,1,nan
191,77,38,nan
192,172,55,nan
193,117,55,nan
194,92,52,nan
195,414,5,vice chair
