,billid,firstname,lastname,state,primaryorco,billstage,chambername,legistype,civid
0,1,,Merkley,,Primary,INTRODUCED,Representative,A BILL,245
1,1,,Warren,,Co,INTRODUCED,Representative,A BILL,382
2,1,,Gillibrand,,Co,INTRODUCED,Representative,A BILL,142
3,1,,Markey,,Co,INTRODUCED,Representative,A BILL,225
4,1,,Wyden,,Co,INTRODUCED,Representative,A BILL,389
5,1,,Sanders,,Co,INTRODUCED,Representative,A BILL,318
6,1,,Feinstein,,Co,INTRODUCED,Representative,A BILL,123
7,2,,,,Co,INTRODUCED,Senator,A BILL,
8,3,,Blunt,,Primary,INTRODUCED,Representative,A BILL,35
9,3,,Cochran,,Co,INTRODUCED,Representative,A BILL,66
10,3,,Cornyn,,Co,INTRODUCED,Representative,A BILL,78
11,3,,Manchin,,Co,INTRODUCED,Representative,A BILL,223
12,3,,Enzi,,Co,INTRODUCED,Representative,A BILL,115
13,3,,Thune,,Co,INTRODUCED,Representative,A BILL,357
14,3,,Strange,,Co,INTRODUCED,Representative,A BILL,348
15,3,,Capito,,Co,INTRODUCED,Representative,A BILL,51
16,4,,Norton,,Primary,INTRODUCED,Senator,A BILL,264
17,4,,Pocan,,Co,INTRODUCED,Senator,A BILL,286
18,4,,Pallone,,Co,INTRODUCED,Senator,A BILL,269
19,5,,Bennet,,Primary,INTRODUCED,Senator,A BILL,24
20,5,,Rubio,,Co,INTRODUCED,Senator,A BILL,312
21,5,Van,Hollen,,Co,INTRODUCED,Senator,A BILL,6
22,5,,Gardner,,Co,INTRODUCED,Senator,A BILL,
23,6,,Booker,,Primary,INTRODUCED,Representative,A BILL,
24,6,,Warren,,Co,INTRODUCED,Representative,A BILL,
25,6,,Schatz,,Co,INTRODUCED,Representative,A BILL,
26,6,,Markey,,Co,INTRODUCED,Representative,A BILL,
27,6,,Murray,,Co,INTRODUCED,Representative,A BILL,
28,6,,Sanders,,Co,INTRODUCED,Representative,A BILL,
29,6,,Leahy,,Co,INTRODUCED,Representative,A BILL,
30,6,,Merkley,,Co,INTRODUCED,Representative,A BILL,
31,6,,Hirono,,Co,INTRODUCED,Representative,A BILL,
32,6,,Wyden,,Co,INTRODUCED,Representative,A BILL,
33,7,,McCaul,,Primary,INTRODUCED,Representative,A BILL,
34,7,,Butterfield,,Co,INTRODUCED,Representative,A BILL,
35,7,,Duffy,,Co,INTRODUCED,Representative,A BILL,
36,8,,,,Co,INTRODUCED,Representative,A BILL,
37,9,,Comstock,,Primary,INTRODUCED,Senator,A BILL,
38,9,,Fitzpatrick,,Co,INTRODUCED,Senator,A BILL,
39,9,,Costa,,Co,INTRODUCED,Senator,A BILL,
40,9,,Hastings,,Co,INTRODUCED,Senator,A BILL,
41,9,,Jeffries,,Co,INTRODUCED,Senator,A BILL,
42,9,,Lipinski,,Co,INTRODUCED,Senator,A BILL,
43,9,,Peters,,Co,INTRODUCED,Senator,A BILL,
44,10,,Coons,,Primary,,,,
45,10,,Murkowski,,Co,,,,
46,10,,Harris,,Co,,,,
47,10,,Capito,,Co,,,,
48,10,,Markey,,Co,,,,
49,10,,Warren,,Co,,,,
50,10,,Carper,,Co,,,,
51,10,,Klobuchar,,Co,,,,
52,10,,Hassan,,Co,,,,
53,10,,Alexander,,Co,,,,
54,10,,Peters,,Co,,,,
55,10,,Whitehouse,,Co,,,,
56,10,,Wyden,,Co,,,,
57,10,,Durbin,,Co,,,,
58,10,,Merkley,,Co,,,,
59,10,,Smith,,Co,,,,
60,10,,Isakson,,Co,,,,
61,10,,Reed,,Co,,,,
62,10,,Collins,,Co,,,,
63,10,,Jones,,Co,,,,
64,10,,Manchin,,Co,,,,
65,10,,Kaine,,Co,,,,
66,10,,Murray,,Co,,,,
67,10,Van,Hollen,,Co,,,,6
68,10,,Heitkamp,,Co,,,,
69,10,Cortez,Masto,,Co,,,,
70,10,,Casey,,Co,,,,
71,10,,Gillibrand,,Co,,,,
72,10,,Shaheen,,Co,,,,
73,10,,McCaskill,,Co,,,,
74,10,,Blumenthal,,Co,,,,
75,10,,Hirono,,Co,,,,
76,10,,King,,Co,,,,
77,10,,Nelson,,Co,,,,
78,10,,Blunt,,Co,,,,
79,10,,Warner,,Co,,,,
80,10,,Sanders,,Co,,,,
81,10,,Baldwin,,Co,,,,
82,10,,Rubio,,Co,,,,
83,10,,Feinstein,,Co,,,,
84,10,,Kennedy,,Co,,,,
85,10,,Scott,,Co,,,,
86,10,,Hyde-Smith,,Co,,,,
87,10,,Menendez,,Co,,,,
88,10,,Booker,,Co,,,,
89,10,,Portman,,Co,,,,
90,10,,Burr,,Co,,,,
91,11,,Leahy,,Primary,,,,
92,11,,Shaheen,,Co,,,,
93,11,,Hirono,,Co,,,,
94,11,,Booker,,Co,,,,
95,11,,Reed,,Co,,,,
96,11,,Carper,,Co,,,,
97,11,,Warren,,Co,,,,
98,11,,Sanders,,Co,,,,
99,11,,Coons,,Co,,,,
100,11,Van,Hollen,,Co,,,,6
101,11,,Gillibrand,,Co,,,,
102,11,,Merkley,,Co,,,,
103,11,,Blumenthal,,Co,,,,
104,11,,Udall,,Co,,,,
105,11,,Markey,,Co,,,,
106,11,,Wyden,,Co,,,,
107,11,,Bennet,,Co,,,,
108,11,,Klobuchar,,Co,,,,
109,11,,Franken,,Co,,,,
110,11,,Brown,,Co,,,,
111,11,,Murphy,,Co,,,,
112,11,,Whitehouse,,Co,,,,
113,11,,Schatz,,Co,,,,
114,11,,Heitkamp,,Co,,,,
115,11,,Donnelly,,Co,,,,
116,11,,Heinrich,,Co,,,,
117,11,,Feinstein,,Co,,,,
118,11,,Durbin,,Co,,,,
119,11,,Casey,,Co,,,,
120,11,,Peters,,Co,,,,
121,11,,Schumer,,Co,,,,
122,12,,Cleaver,,Co,,,,
123,12,,Meeks,,Co,,,,
124,12,,Quigley,,Co,,,,
125,12,,Clay,,Co,,,,
126,12,,Butterfield,,Co,,,,
127,12,,Norton,,Co,,,,
128,12,,Rush,,Co,,,,
129,12,,Ellison,,Co,,,,
130,12,,Plaskett,,Co,,,,
131,12,,Beyer,,Co,,,,
132,12,,Jayapal,,Co,,,,
133,12,,Conyers,,Co,,,,
134,12,,Adams,,Co,,,,
135,12,Wasserman,Schultz,,Co,,,,
136,12,,Raskin,,Co,,,,
137,12,,Velázquez,,Co,,,,
138,12,,Moore,,Co,,,,
139,12,,Schakowsky,,Co,,,,
140,12,,Lee,,Co,,,,
141,12,,Grijalva,,Co,,,,
142,12,,Beatty,,Co,,,,
143,12,,Fudge,,Co,,,,
144,12,,Gutiérrez,,Co,,,,
145,12,,Richmond,,Co,,,,
146,12,,Hastings,,Co,,,,
147,12,,McNerney,,Co,,,,
148,12,,Lawrence,,Co,,,,
149,12,,Shea-Porter,,Co,,,,
150,13,,Bass,,Co,,,,
151,13,,Beatty,,Co,,,,
152,13,,Beyer,,Co,,,,
153,13,,Butterfield,,Co,,,,
154,13,,Capuano,,Co,,,,
155,13,,Carbajal,,Co,,,,
156,13,,Clay,,Co,,,,
157,13,,Cleaver,,Co,,,,
158,13,,Clyburn,,Co,,,,
159,13,,Crist,,Co,,,,
160,13,,DeFazio,,Co,,,,
161,13,,Ellison,,Co,,,,
162,13,,Evans,,Co,,,,
163,13,,Fudge,,Co,,,,
164,13,,Gutiérrez,,Co,,,,
165,13,,Hastings,,Co,,,,
166,13,,Huffman,,Co,,,,
167,13,Jackson,Lee,,Co,,,,
168,13,,Jeffries,,Co,,,,
169,13,,Lawrence,,Co,,,,
170,13,,Lee,,Co,,,,
171,13,,Lynch,,Co,,,,
172,13,,Meeks,,Co,,,,
173,13,,Moore,,Co,,,,
174,13,,Norton,,Co,,,,
175,13,,Pallone,,Co,,,,
176,13,,Payne,,Co,,,,
177,13,,Pocan,,Co,,,,
178,13,,Quigley,,Co,,,,
179,13,,Raskin,,Co,,,,
180,13,Blunt,Rochester,,Co,,,,
181,13,,Rush,,Co,,,,
182,13,,Schakowsky,,Co,,,,
183,13,,Sires,,Co,,,,
184,13,,Veasey,,Co,,,,
185,13,,Velázquez,,Co,,,,
186,13,Wasserman,Schultz,,Co,,,,
187,13,Watson,Coleman,,Co,,,,
188,14,,Hirono,,Primary,REFERRED,Representative,AN ACT,
189,14,,Schumer,,Co,REFERRED,Representative,AN ACT,
190,14,,Durbin,,Co,REFERRED,Representative,AN ACT,
191,14,,Murray,,Co,REFERRED,Representative,AN ACT,
192,14,,Baldwin,,Co,REFERRED,Representative,AN ACT,
193,14,,Blumenthal,,Co,REFERRED,Representative,AN ACT,
194,14,,Booker,,Co,REFERRED,Representative,AN ACT,
195,14,,Brown,,Co,REFERRED,Representative,AN ACT,
196,14,,Carper,,Co,REFERRED,Representative,AN ACT,
197,14,,Coons,,Co,REFERRED,Representative,AN ACT,
198,14,Cortez,Masto,,Co,REFERRED,Representative,AN ACT,
199,14,,Feinstein,,Co,REFERRED,Representative,AN ACT,
200,14,,Gillibrand,,Co,REFERRED,Representative,AN ACT,
201,14,,Kaine,,Co,REFERRED,Representative,AN ACT,
202,14,,Klobuchar,,Co,REFERRED,Representative,AN ACT,
203,14,,Leahy,,Co,REFERRED,Representative,AN ACT,
204,14,,Markey,,Co,REFERRED,Representative,AN ACT,
205,14,,Menendez,,Co,REFERRED,Representative,AN ACT,
206,14,,Murphy,,Co,REFERRED,Representative,AN ACT,
207,14,,Reed,,Co,REFERRED,Representative,AN ACT,
208,14,,Sanders,,Co,REFERRED,Representative,AN ACT,
209,14,,Schatz,,Co,REFERRED,Representative,AN ACT,
210,14,Van,Hollen,,Co,REFERRED,Representative,AN ACT,6
211,14,,Warren,,Co,REFERRED,Representative,AN ACT,
212,14,,Wyden,,Co,REFERRED,Representative,AN ACT,
213,14,,Franken,,Co,REFERRED,Representative,AN ACT,
214,15,,,,Primary,ENGROSSED,Senator,AN ACT,
215,15,,,,Co,ENGROSSED,Senator,AN ACT,
216,16,,,,Primary,,,,
217,16,,,,Co,,,,
218,17,,Schakowsky,,Primary,,,,
219,17,Wasserman,Schultz,,Co,,,,
220,17,Jackson,Lee,,Co,,,,
221,17,Watson,Coleman,,Co,,,,
222,17,,Quigley,,Co,,,,
223,17,,Rush,,Co,,,,
224,17,,Lawrence,,Co,,,,
225,17,,Foster,,Co,,,,
226,17,,Moulton,,Co,,,,
227,18,,Nadler,,Co,,,,
228,18,,Pelosi,,Co,,,,
229,18,,Hoyer,,Co,,,,
230,18,,Clyburn,,Co,,,,
231,18,,Richmond,,Co,,,,
232,18,,Takano,,Co,,,,
233,18,Watson,Coleman,,Co,,,,
234,18,,Butterfield,,Co,,,,
235,18,,Grijalva,,Co,,,,
236,18,,Soto,,Co,,,,
237,19,,Duckworth,,Primary,,,,
238,19,,Harris,,Co,,,,
239,19,,Shaheen,,Co,,,,
240,19,Van,Hollen,,Co,,,,6
241,19,,Warren,,Co,,,,
242,19,,Durbin,,Co,,,,
243,19,,Heitkamp,,Co,,,,
244,19,,Baldwin,,Co,,,,
245,19,,Stabenow,,Co,,,,
246,19,,Hassan,,Co,,,,
247,19,,King,,Co,,,,
248,19,,Brown,,Co,,,,
249,19,,Cantwell,,Co,,,,
250,19,,Blumenthal,,Co,,,,
251,19,,Markey,,Co,,,,
252,19,,Feinstein,,Co,,,,
253,19,,Hirono,,Co,,,,
254,19,,Murray,,Co,,,,
255,19,,Nelson,,Co,,,,
256,20,,Duffy,,Primary,INTRODUCED,Senator,A BILL,
257,20,,,,Co,INTRODUCED,Senator,A BILL,
258,21,,Sanders,,Primary,INTRODUCED,Representative,A BILL,
259,21,,,,Co,INTRODUCED,Representative,A BILL,
260,22,,Cicilline,,Primary,INTRODUCED,Representative,A BILL,
261,22,,Bustos,,Co,INTRODUCED,Representative,A BILL,
262,22,,Cartwright,,Co,INTRODUCED,Representative,A BILL,
263,22,,Crowley,,Co,INTRODUCED,Representative,A BILL,
264,22,,Correa,,Co,INTRODUCED,Representative,A BILL,
265,22,,Evans,,Co,INTRODUCED,Representative,A BILL,
266,22,,Blumenauer,,Co,INTRODUCED,Representative,A BILL,
267,22,Wasserman,Schultz,,Co,INTRODUCED,Representative,A BILL,
268,22,,Beyer,,Co,INTRODUCED,Representative,A BILL,
269,22,Blunt,Rochester,,Co,INTRODUCED,Representative,A BILL,
270,22,,Peters,,Co,INTRODUCED,Representative,A BILL,
271,22,,Lawrence,,Co,INTRODUCED,Representative,A BILL,
272,22,,Gallego,,Co,INTRODUCED,Representative,A BILL,
273,22,,Aguilar,,Co,INTRODUCED,Representative,A BILL,
274,22,,Foster,,Co,INTRODUCED,Representative,A BILL,
275,22,,Himes,,Co,INTRODUCED,Representative,A BILL,
276,22,,Levin,,Co,INTRODUCED,Representative,A BILL,
277,22,,Meng,,Co,INTRODUCED,Representative,A BILL,
