,billid,firstname,lastname,state,primaryorco,representativeid,billstage,chambername,legistype
0,2,,Franks,Arizona,Primary,416,INTRODUCED,Senator,A BILL
1,4,,Ryan,Ohio,Co,262,INTRODUCED,Senator,A BILL
2,4,,Davis,California,Co,403,INTRODUCED,Senator,A BILL
3,7,,Clarke,New York,Co,330,INTRODUCED,Representative,A BILL
4,8,Al,Green,Texas,Primary,132,INTRODUCED,Representative,A BILL
5,8,Al,Green,Texas,Primary,128,INTRODUCED,Representative,A BILL
6,9,,Clarke,New York,Co,330,INTRODUCED,Senator,A BILL
7,12,Al,Green,Texas,Primary,132,,,
8,12,Al,Green,Texas,Primary,128,,,
9,12,Danny K,Davis,Illinois,Co,187,,,
10,12,Danny K,Davis,Illinois,Co,158,,,
11,12,,Lewis,Georgia,Co,221,,,
12,12,,Bishop,Georgia,Co,9,,,
13,12,,Carson,Indiana,Co,202,,,
14,12,Maxine,Waters,California,Co,383,,,
15,12,,Wilson,Florida,Co,278,,,
16,12,,Gonzalez,Texas,Co,98,,,
17,12,,Kelly,Illinois,Co,177,,,
18,12,,Higgins,New York,Co,290,,,
19,12,,Johnson,Georgia,Co,0,,,
20,12,,Smith,Washington,Co,357,,,
21,13,Al,Green,Texas,Primary,132,,,
22,13,Al,Green,Texas,Primary,128,,,
23,13,,Brown,Maryland,Co,304,,,
24,13,,Carson,Indiana,Co,202,,,
25,13,,Clarke,New York,Co,330,,,
26,13,Danny K,Davis,Illinois,Co,187,,,
27,13,Danny K,Davis,Illinois,Co,158,,,
28,13,,Gonzalez,Texas,Co,98,,,
29,13,Eddie B,Johnson,Texas,Co,117,,,
30,13,Eddie B,Johnson,Texas,Co,113,,,
31,13,,Johnson,Georgia,Co,0,,,
32,13,,Kelly,Illinois,Co,177,,,
33,13,,Lewis,Georgia,Co,221,,,
34,13,David,Scott,Georgia,Co,230,,,
35,13,David,Scott,Georgia,Co,216,,,
36,13,,Sewell,Alabama,Co,172,,,
37,13,,Thompson,Mississippi,Co,155,,,
38,13,Maxine,Waters,California,Co,383,,,
39,13,,Wilson,Florida,Co,278,,,
40,13,,Smith,Washington,Co,357,,,
41,17,Danny K,Davis,Illinois,Co,187,,,
42,17,Danny K,Davis,Illinois,Co,158,,,
43,18,,Scott,Virginia,Primary,52,,,
44,18,Judy,Chu,California,Co,388,,,
45,18,Danny K,Davis,Illinois,Co,187,,,
46,18,Danny K,Davis,Illinois,Co,158,,,
47,18,,Wilson,Florida,Co,278,,,
48,18,,Sewell,Alabama,Co,172,,,
49,22,,Brownley,California,Co,92,INTRODUCED,Representative,A BILL
50,22,Sean P,Maloney,New York,Co,329,INTRODUCED,Representative,A BILL
51,22,Sean P,Maloney,New York,Co,322,INTRODUCED,Representative,A BILL
52,22,,Frankel,Florida,Co,279,INTRODUCED,Representative,A BILL
53,22,,Frankel,Florida,Co,277,INTRODUCED,Representative,A BILL
54,22,,Ryan,Ohio,Co,262,INTRODUCED,Representative,A BILL
55,22,Brendan F,Boyle,Pennsylvania,Co,315,INTRODUCED,Representative,A BILL
56,22,,Scott,Virginia,Co,52,INTRODUCED,Representative,A BILL
57,22,,Davis,California,Co,403,INTRODUCED,Representative,A BILL
58,22,,Castro,Texas,Co,99,INTRODUCED,Representative,A BILL
59,22,,Murphy,Florida,Co,264,INTRODUCED,Representative,A BILL
60,22,,Kelly,Illinois,Co,177,INTRODUCED,Representative,A BILL
61,22,,Lawson,Florida,Co,249,INTRODUCED,Representative,A BILL
62,22,,Clark,Massachusetts,Co,347,INTRODUCED,Representative,A BILL
63,22,,Larson,Connecticut,Co,342,INTRODUCED,Representative,A BILL
64,22,,Brown,Maryland,Co,304,INTRODUCED,Representative,A BILL
65,22,,Rice,New York,Co,335,INTRODUCED,Representative,A BILL
66,22,,Gonzalez,Texas,Co,98,INTRODUCED,Representative,A BILL
67,22,,Swalwell,California,Co,361,INTRODUCED,Representative,A BILL
68,22,,Kuster,New Hampshire,Co,345,INTRODUCED,Representative,A BILL
69,22,,Esty,Connecticut,Co,337,INTRODUCED,Representative,A BILL
70,22,David,Scott,Georgia,Co,230,INTRODUCED,Representative,A BILL
71,22,David,Scott,Georgia,Co,216,INTRODUCED,Representative,A BILL
72,22,,Thompson,California,Co,354,INTRODUCED,Representative,A BILL
73,22,Ted,Lieu,California,Co,378,INTRODUCED,Representative,A BILL
74,22,Michael F,Doyle,Pennsylvania,Co,282,INTRODUCED,Representative,A BILL
75,22,,Lewis,Georgia,Co,221,INTRODUCED,Representative,A BILL
76,22,,Brady,Pennsylvania,Co,316,INTRODUCED,Representative,A BILL
77,22,,Castor,Florida,Co,42,INTRODUCED,Representative,A BILL
78,22,,Clarke,New York,Co,330,INTRODUCED,Representative,A BILL
79,22,,Price,North Carolina,Co,288,INTRODUCED,Representative,A BILL
80,22,,Larsen,Washington,Co,83,INTRODUCED,Representative,A BILL
81,22,,Carson,Indiana,Co,202,INTRODUCED,Representative,A BILL
82,22,Danny K,Davis,Illinois,Co,187,INTRODUCED,Representative,A BILL
83,22,Danny K,Davis,Illinois,Co,158,INTRODUCED,Representative,A BILL
84,22,,Sewell,Alabama,Co,172,INTRODUCED,Representative,A BILL
85,22,Maxine,Waters,California,Co,383,INTRODUCED,Representative,A BILL
86,22,,Johnson,Georgia,Co,0,INTRODUCED,Representative,A BILL
87,22,,Smith,Washington,Co,357,INTRODUCED,Representative,A BILL
88,22,Carolyn B,Maloney,New York,Co,329,INTRODUCED,Representative,A BILL
89,22,Carolyn B,Maloney,New York,Co,322,INTRODUCED,Representative,A BILL
90,22,Al,Green,Texas,Co,132,INTRODUCED,Representative,A BILL
91,22,Al,Green,Texas,Co,128,INTRODUCED,Representative,A BILL
92,22,,Bishop,Georgia,Co,9,INTRODUCED,Representative,A BILL
93,22,Judy,Chu,California,Co,388,INTRODUCED,Representative,A BILL
94,22,,Wilson,Florida,Co,278,INTRODUCED,Representative,A BILL
95,22,,Higgins,New York,Co,290,INTRODUCED,Representative,A BILL
96,22,,Thompson,Mississippi,Co,155,INTRODUCED,Representative,A BILL
97,22,Eddie B,Johnson,Texas,Co,117,INTRODUCED,Representative,A BILL
98,22,Eddie B,Johnson,Texas,Co,113,INTRODUCED,Representative,A BILL
99,22,Gene,Green,Texas,Co,132,INTRODUCED,Representative,A BILL
100,22,Gene,Green,Texas,Co,128,INTRODUCED,Representative,A BILL
101,23,,Johnson,Georgia,Co,0,INTRODUCED,Senator,A BILL
102,23,Ted,Lieu,California,Co,378,INTRODUCED,Senator,A BILL
103,26,Al,Green,Texas,Primary,132,INTRODUCED,Representative,A BILL
104,26,Al,Green,Texas,Primary,128,INTRODUCED,Representative,A BILL
105,27,,Clarke,New York,Co,330,INTRODUCED,Representative,A BILL
106,27,Al,Green,Texas,Co,132,INTRODUCED,Representative,A BILL
