representativeid,lastname,firstname,statelabel,statecode,district,chamber,party
1,Johnson,Henry C,Georgia,13,4,House of Representatives,Democratic
2,Weber,Randy K,Texas,48,14,House of Representatives,Republican
5,Duncan,John J,Tennessee,47,2,House of Representatives,Republican
6,Donovan,Daniel M,New York,36,11,House of Representatives,Republican
7,Boustany,Charles W,Louisiana,22,3,House of Representatives,Republican
8,Jones,Walter B,North Carolina,37,3,House of Representatives,Republican
9,Sensenbrenner,James F,Wisconsin,55,5,House of Representatives,Republican
10,Bishop,Sanford D,Georgia,13,2,House of Representatives,Democratic
11,Pascrell,Bill,New Jersey,34,9,House of Representatives,Democratic
12,Conyers,John,Michigan,26,13,House of Representatives,Democratic
13,Pallone,Frank,New Jersey,34,6,House of Representatives,Democratic
14,Payne,Donald M,New Jersey,34,10,House of Representatives,Democratic
15,Beyer,Donald S,Virginia,51,8,House of Representatives,Democratic
17,Kennedy,Joseph P,Massachusetts,25,4,House of Representatives,Democratic
18,Vela,Filemon,Texas,48,34,House of Representatives,Democratic
19,Farenthold,Blake,Texas,48,27,House of Representatives,Republican
20,Brady,Kevin,Texas,48,8,House of Representatives,Republican
21,Babin,Brian,Texas,48,36,House of Representatives,Republican
22,Kind,Ron,Wisconsin,55,3,House of Representatives,Democratic
23,Duffy,Sean P,Wisconsin,55,7,House of Representatives,Republican
24,Kustoff,David,Tennessee,47,8,House of Representatives,Republican
25,Nolan,Richard M,Minnesota,27,8,House of Representatives,Democratic
26,Comer,James,Kentucky,21,1,House of Representatives,Republican
27,Scalise,Steve,Louisiana,22,1,House of Representatives,Republican
28,Palazzo,Steven M,Mississippi,28,4,House of Representatives,Republican
29,Byrne,Bradley,Alabama,1,1,House of Representatives,Republican
30,Gallagher,Mike,Wisconsin,55,8,House of Representatives,Republican
31,Cooper,Jim,Tennessee,47,5,House of Representatives,Democratic
32,Dunn,Neal,Florida,12,2,House of Representatives,Republican
33,Kildee,Daniel T,Michigan,26,5,House of Representatives,Democratic
34,Mitchell,Paul,Michigan,26,10,House of Representatives,Republican
35,Bergman,Jack,Michigan,26,1,House of Representatives,Republican
36,Dingell,Debbie,Michigan,26,12,House of Representatives,Democratic
37,Yoho,Ted S,Florida,12,3,House of Representatives,Republican
38,Bilirakis,Gus M,Florida,12,12,House of Representatives,Republican
39,Webster,Daniel,Florida,12,11,House of Representatives,Republican
40,Kaptur,Marcy,Ohio,39,9,House of Representatives,Democratic
41,Crist,Charlie,Florida,12,13,House of Representatives,Democratic
42,Buchanan,Vern,Florida,12,16,House of Representatives,Republican
43,Castor,Kathy,Florida,12,14,House of Representatives,Democratic
44,Rooney,Francis,Florida,12,19,House of Representatives,Republican
45,Carter,Earl L,Georgia,13,1,House of Representatives,Republican
46,Curbelo,Carlos,Florida,12,26,House of Representatives,Republican
47,Ros-Lehtinen,Ileana,Florida,12,27,House of Representatives,Republican
